Re,D,U,r,theta,V_norm
1403.37,4.83,2.78,41.53,4.9094,0.9998
329.06,1.04,1.93,4.77,4.2729,1.0249
4330.38,4.99,0.95,43.19,3.9908,0.9787
4073.86,3.71,1.17,23.04,5.7149,0.9582
4998.6,4.31,1,39.53,0.1133,0.9845
4983.35,2.18,1.12,20.42,3.5,0.9597
2799.39,1.06,1.27,1.67,4.9471,1.354
3856.49,3.95,1.89,8.46,3.4013,0.8074
4726.59,4.34,1.97,15.73,2.0351,1.0544
4255.75,3.96,1.57,28.48,0.8561,1.0096
1274.37,1.57,2.04,14.22,5.5767,1.0006
2280.19,4.01,0.7,21.71,2.9579,0.9676
689.34,4.08,0.72,27.14,5.5174,1.0029
4772.55,3.63,0.93,11.27,3.681,0.9173
3050.56,4.06,1.8,33.91,4.2361,1.0511
1181.78,4.38,1.03,42.62,5.0533,1.0054
3374.92,3.45,1.21,13.07,4.1416,0.9868
3109.73,1.35,1.5,7.73,2.5011,0.9975
1822.91,2.95,2.53,6.59,3.2273,0.7891
612.11,1.31,0.53,8.19,5.0457,1.0243
3374.29,2.63,2.12,15.19,2.3477,1.0755
2625.52,2.63,2.17,7.17,2.4386,0.9593
3872.98,1.26,2.5,6.65,0.6012,1.0004
2624.81,2.4,2.83,10.4,5.7465,0.9297
4268.3,1.44,0.55,8.57,0.572,1.008
2781.94,4.23,0.88,27.42,4.0728,0.9825
2826.64,4.79,2.72,7.53,2.5962,0.8671
4389.44,1.29,1.65,10.27,2.5486,0.9459
2047.24,4.82,1.91,36.45,4.2698,1.0262
713.38,3.09,2.16,14.26,0.4216,0.9766
192.47,2.2,2.2,4.29,3.7304,0.9955
3787.93,1.31,2.83,10.35,4.8508,0.9826
3120.53,3,2.99,28.88,5.2038,1.0556
3535.19,4.18,2.3,14.8,1.0715,1.0188
1104.17,3.83,1.22,16.27,5.6387,0.9622
725.04,1.2,2.7,3.68,4.1227,1.0487
122,1.29,0.62,8.27,5.5409,0.9969
1785.41,2.61,1.08,7.35,3.0491,0.892
2970.09,2.18,2.74,9.88,3.4057,0.9469
1991.61,1.93,1.14,14.33,5.7745,1.0026
2215.5,2.12,1.05,13.3,5.6543,1.0235
4525.59,4.21,0.85,20.16,2.8159,0.9109
1773.86,4.72,2.65,23.92,1.7242,1.0271
2594.25,2.62,1.75,16.45,2.4704,0.9926
3929.08,4.62,2.19,7.17,2.4364,1.0784
2012.89,2.29,1.1,4.95,1.8024,1.1577
3129.33,2.91,2.4,26.12,1.6875,0.9934
4318.7,1.9,2.4,4.12,5.4102,1.067
4750.13,3.56,1.28,26.74,0.439,0.9613
778.01,4.92,1.53,45.82,4.2576,1.0083
4636.61,3.41,1.02,12.98,1.0859,0.9688
2485.98,2.43,2.94,11.3,2.1646,1.0733
1328.31,3.59,2.11,22.75,0.3867,0.9644
2322.72,1.49,2.84,13.42,1.6963,1.0045
4901.16,4.55,1.26,43.3,4.8281,1.0092
2488.46,3.01,2.45,23.45,5.5607,1.0457
1677.32,2.8,2.41,6.26,1.3919,1.1314
3185.33,3.34,2.23,24.03,2.9126,1.0459
1238.72,3.5,2.91,17.45,2.9551,0.9721
425.52,1.29,1.48,7.08,5.4888,1.0029
687.95,3.73,0.83,7.15,4.7928,1.3516
683.83,1.97,2.18,6.15,3.2238,0.903
801.92,3.86,2.32,31.69,4.2144,1.0023
737.19,4.29,1.94,22.99,5.3241,1.0217
3222.33,4.22,1.02,17.13,0.0599,0.9086
950.31,3.21,1.76,15.29,2.5314,0.9847
1761.05,3.08,1.28,26.99,5.7004,0.9852
4489.1,1.57,1.57,12.36,4.6515,0.9717
2396.11,4.1,2.11,15.65,3.4108,0.9594
3354.41,2.09,2.36,5.21,3.3279,0.8716
902.98,2.99,1.08,10.88,2.1851,1.0387
1001.83,2.14,1.51,19.93,3.2705,0.9711
252.3,1.54,1.17,9.89,4.1179,1.0119
886.23,3.52,1,21.23,2.6287,1.0082
1429.02,1.22,2.46,8,4.4872,1.0145
926.2,3.99,2.77,18.42,5.4113,1.0267
489.08,2.27,1.43,18.98,0.9719,1.004
647.15,1,2.38,5.95,2.8372,0.9681
2330.85,3.04,2.74,7.59,2.5637,0.932
1071.35,1.19,2.62,3.08,4.3195,1.1737
1853.14,2.1,0.96,12.76,1.57,1.0117
2541.92,3.83,2.89,36.22,4.0228,0.9869
3467.45,1.25,1.44,5.15,5.5134,1.0205
244.6,4.36,1.35,38.74,2.6272,0.9935
4007.08,1.02,0.66,8.12,5.7241,1.0167
3158.11,1.99,1.72,7.17,6.2402,0.9309
454.71,3.96,0.77,7.17,0.6666,0.8608
4374.21,2.27,1.12,5.36,1.4643,1.1532
4608.32,1.41,1.29,10.83,5.9714,0.997
352.34,2.44,2.52,7.8,6.0214,0.9133
1420.54,2.08,2.69,9.69,0.6139,1.0037
4040.7,4.37,1.26,25.2,0.0942,0.9448
3753.89,2.25,2.65,17.28,1.0122,1.0499
963.38,4.16,2.64,10.23,6.2581,0.8308
1086.28,4.57,2.41,22.63,1.131,1.0286
1883.84,2.74,0.87,15.38,3.1576,0.9591
2448.39,4.64,2.23,28.29,5.3308,0.9843
3110.36,2.51,2.86,21.22,0.1282,0.9322
1876.12,4.86,2.21,14.37,3.7981,0.9711
2339.55,1.36,1.33,11.35,1.7406,1.0059
3749.98,3.75,1.75,27.7,5.4182,1.011
231.58,2.98,2.11,18.52,1.781,1.026
1299.56,2.55,1.78,18.99,4.315,1.0069
3581.08,3.53,0.8,17.66,4.2362,0.9921
4481.27,3.82,1.28,10.21,1.3917,1.065
2582.8,1.02,2.51,7.28,0.2186,0.9948
2683.96,1.67,2.65,9.94,2.5714,1.0257
580.5,3.85,0.84,26.71,1.8171,1.0257
2264.69,3.67,2.88,16.03,5.083,1.0553
2686.46,4.86,1.32,44.79,5.0288,1.0267
1250.23,4.04,2.16,26.26,2.8716,1.001
1382.75,4.8,2.38,10.69,3.8108,1.0009
1917.56,3.81,2.53,20.28,3.7967,1.0039
149.35,2.19,2.86,17.38,5.1972,1.0086
1644.29,1.42,1.28,11.73,2.6704,0.969
1096.67,4.13,2.65,23.54,1.7307,1.0217
1671.11,3.58,0.83,32.57,1.6653,1.0117
642.82,1.19,2.26,4.5,3.369,0.9379
4458.11,2.44,2.35,12.18,2.8221,1.0539
2988.28,4.83,2.19,44.11,2.7654,0.9937
3411.56,3,1.13,27.37,0.5726,1.0353
3956.4,2.73,2.68,20.01,4.5151,1
2517.29,2.83,0.92,24.91,1.3429,1.0038
480.26,1.84,0.63,4.14,1.2375,1.0484
2708.68,2.47,2.29,21.91,2.5934,0.9741
2954.86,2.48,1.69,10.48,1.4312,1.0695
3739.93,1.21,2.62,3.65,3.6685,0.9508
2186.71,4.07,1.46,14.39,2.334,1.0274
681.52,2.67,0.92,13.47,2.8206,0.9701
1454.69,4.29,2.59,15.59,3.3751,0.9279
1847.26,4.4,1.87,18.6,1.2789,1.0869
3247.29,1.85,0.97,4.89,0.9786,1.0531
2875.35,3.63,2.3,14.58,5.5319,1.0311
1812.68,2.89,1.78,18.39,2.7252,0.9763
4933.25,4.52,2.01,23.76,2.5893,1.0193
3048.59,1.86,1.65,8.28,0.2238,0.983
1224.27,3.71,2.57,29.11,3.1289,0.9863
553.82,3.43,2.57,31.2,3.482,0.9776
806.65,2.18,2.27,17.3,3.5113,0.9885
1267.49,1.55,0.76,6.68,4.4424,1.0619
845.37,3.61,2.6,28.23,1.1152,1.0145
973.51,3.95,2.18,11.04,1.5848,1.0687
1461.22,2.26,2.24,5.9,5.094,1.1209
908.2,3.58,1.41,15.88,5.9512,0.954
4488.99,2.58,2.7,21.59,0.8541,1.0205
447.16,3.85,2.31,13.85,3.1268,0.9245
2646.33,1.8,0.78,3.66,1.3457,1.2314
2081.46,4.56,1.52,11.95,0.3775,0.8889
4912.77,2.15,2.72,18.92,2.0452,1.0275
604.59,2.47,0.62,17.02,0.9028,1.0052
2019.39,1.23,2.9,4.5,4.4606,1.0464
4848.88,1.45,2.2,8.99,3.3535,0.8671
4334.26,3.06,2.08,18.33,0.9037,1.0256
4094.51,2.07,1.18,14.64,0.0581,0.9873
1326.62,4.34,1.12,15.12,5.0778,1.0546
895.89,1.06,2.86,9.37,1.1071,0.9932
3359.78,2.52,1.25,10.39,3.809,1.0091
4650.41,2.35,2.44,17.39,2.1169,0.9962
2805.98,1.08,1.48,1.76,3.6787,0.905
2879.48,1.5,0.85,6.99,1.9833,1.0854
1435.9,2.65,0.53,11.92,0.5463,0.9474
3858.99,2.97,1.86,18.18,1.4008,0.9982
975.87,2.62,2.94,5.54,1.1816,1.0957
1652.21,3.12,1.42,25.67,2.6893,1.0149
2155.91,3.38,1.39,11.33,4.1361,1.0041
2562.67,1.04,1.36,7.54,1.6575,1.0683
1249.93,2.86,1.8,23.79,0.0758,0.9874
618.44,4.85,1.6,30.46,3.2606,0.9748
3072.57,3.08,2.7,23.99,3.8061,0.9901
1478.72,3.71,1.76,26.44,6.0499,0.976
2927.13,2.25,1.77,10.16,3.7038,1.0106
814.1,4.1,0.85,34.3,2.9605,0.978
2431.64,4.09,2.96,16.39,3.6028,0.972
2686.32,3.09,1.12,19.61,5.8302,0.9746
306.53,4.9,0.68,38.43,5.2049,1.0068
1716.19,1.5,2.16,7.09,2.0293,1.0723
715.35,1.07,1.99,4.35,1.4907,1.0625
363.71,4.08,1.54,22.05,1.6502,1.0361
4950.3,4.23,1.56,35.74,3.1694,1.0423
1645.65,1.48,2.46,13.93,4.675,0.9879
4058.88,2.06,0.99,12.65,3.1618,1.0446
1310.47,1.07,2.55,7.62,0.426,0.9543
3423.44,2.17,2.12,19.95,4.5464,0.9849
3813.13,4.09,1.55,9.57,5.0641,1.1284
2998.41,3.07,1.65,10.67,1.819,1.0911
2384.3,2.39,1.14,18,4.1728,1.0137
2088.61,2.49,2.38,21.14,2.6804,0.9882
1776.9,1.01,1.78,8.83,5.5865,0.9976
4651.17,2.2,1.3,11.06,5.3107,0.9696
4161.57,3.59,1.99,8.1,3.3014,0.7543
4826.88,4.9,2.99,25.57,4.3449,1.0626
665.27,4.39,1.59,15.19,5.5502,0.9993
3667.79,1.09,2.8,4.35,3.1147,0.9949
4694.79,4.59,1.36,37.05,1.9682,0.9737
947.1,4.13,0.64,8.85,4.7354,1.2945
379.16,4.12,1.01,35.17,1.3827,1.0117
3718.55,2.83,1.55,14.54,2.4412,1.0386
2893.64,2.59,1.05,17.02,5.4395,1.0325
4217.05,2.21,0.5,5,4.5517,1.1985
741.87,1.26,2.79,5.52,2.5372,0.9801
3986.57,1.91,2.61,4.33,1.3493,1.2114
1048.06,1.99,2.36,19.21,2.2366,1.0094
860.1,2.94,0.92,24.55,1.7851,1.0071
863.12,3.99,0.8,21.57,1.1064,1.0094
4082.14,2.9,0.67,9.85,4.6705,1.0744
3342.73,1.23,2.31,11.62,1.5838,1.0619
2639.17,4.83,2.82,21.4,2.8536,0.9879
1826.21,4.77,1.58,13.68,2.4244,0.9548
4392.14,4.14,0.8,26.03,6.1706,0.9241
1992.6,4.97,1.78,47.28,2.4573,1.0232
4092.17,3.18,1.37,4.87,0.5025,0.6771
2223.72,4.85,1.44,17.1,0.5644,0.9796
1915.87,1.3,2.05,12.34,3.7118,0.9836
2340.26,2.46,2.3,7.28,3.7659,1.0159
1541.82,1.9,0.78,4.68,2.6311,0.8982
3750.67,1.78,0.59,11.32,2.7134,1.0268
2538.47,1.56,2.99,13.8,0.3389,0.9947
1199.45,3.49,1.08,19.39,3.2456,0.9713
4502.89,4.13,0.63,41.06,3.1714,0.9012
1950.26,3.31,0.97,24.1,0.9396,0.9629
2740.59,1.59,0.6,3.38,0.6524,0.9362
4537.04,4.24,1.48,42.19,0.7764,1.0111
3139.98,3.54,2.51,17.6,0.6348,0.9534
628.65,2.55,1.35,10.06,3.8309,0.9829
4702.17,3.7,1.61,23.07,1.2345,1.0466
3157.15,2.04,2.19,8.34,1.5798,1.0776
1707.78,2.38,1.77,5.32,1.0906,1.09
739.4,4.67,2.65,7.06,6.0183,0.5635
3980.42,2.16,2.67,11.51,5.3697,0.9628
3119.36,2.88,0.52,24.81,1.4482,1.002
2690.63,4.56,2.45,29.03,2.0582,1.0584
4474.77,3.83,1.65,38.28,1.3188,1.0118
3953.56,1.25,2.97,4.92,3.0905,0.9409
800.79,1.59,1.71,6.17,0.1232,0.9543
1593.02,1.03,2.97,2.95,4.2183,1.0788
1280.02,3.52,2.39,10.2,3.2871,0.9019
3732.53,2.79,1.12,10.95,5.6463,1.0451
215.99,1.54,1.85,12.66,1.0329,1.0064
2870.95,4.83,2.98,44.45,5.0524,1.0339
3824.17,3.12,2.64,30.53,4.976,0.9715
4389.99,1.97,0.74,6.84,0.7991,0.9755
1743.3,3,2.27,26.99,2.5042,1.0032
4115.22,3.72,1.36,15.95,1.0691,1.0631
597.63,1.3,0.52,3.21,1.6005,1.0757
4239.94,2.1,1.51,18.67,1.654,1.079
681.07,4.23,1.09,29.2,3.4949,0.9837
2016.57,2.84,2.55,8.23,2.585,0.9675
3996.61,3.19,1.34,16.42,5.9548,0.9568
792.09,2.73,2.57,10.77,0.794,1.0103
1184.79,1.18,0.5,9.13,6.1179,0.9868
3625.15,1.66,1.27,8.9,1.4491,1.05
3614.18,2.78,1.1,27.57,4.8561,1.0251
3223.68,1.84,1.08,3.61,2.1298,1.0799
3485.04,1.2,0.67,5.42,0.899,0.973
2736.49,4.37,0.97,24.48,5.3903,1.0101
1296.41,4.92,1.89,28.45,1.9406,1.0005
1761.2,4.17,1.23,17.46,4.1397,1.0395
948.91,4.42,1.54,33.99,3.5591,0.997
4546.83,1.97,1.44,17.58,2.9641,1.0031
2937.79,4.84,2.69,45.9,3.1153,0.9559
2034.21,1.79,2.76,14.92,4.6008,1.0421
2336.93,4.81,1.73,41.95,0.5515,1.0418
4739.05,4.98,1.33,30.77,4.1983,1.0207
809.09,3.85,0.77,32.78,5.6286,1.0007
2951.84,4.92,2.88,20.09,0.3631,0.9619
2554.15,3.28,0.65,16.02,0.8838,1.0226
3076.7,2.04,1.24,8.55,4.5027,1.0485
139.65,2.75,1.25,15.04,2.7475,0.9767
4367.01,3.37,1.3,13.25,2.5356,1.0187
4663.99,1.29,0.91,12.5,0.8606,1.1111
2847.41,3.49,2.46,14.51,3.1841,0.9025
3498.42,4.92,0.81,11.49,0.7951,1.0072
4616.37,1.76,2.09,10.52,2.9947,0.9188
3550.83,4.17,0.81,8.28,4.7979,1.308
805.07,4.63,0.68,11.3,1.6227,1.0843
2902.63,4.77,2.77,16.07,3.0209,0.8726
3053.24,4.84,0.98,26.37,6.233,0.986
2149.45,3.09,2.55,15.99,4.3144,1.0639
3695.4,4.91,1.86,40.73,5.2864,1.0306
4675.12,4.03,0.69,31.37,2.6066,1.0018
4631.56,1.65,2.89,8.44,4.8246,1.0561
2281.65,2.91,1.12,12.61,0.2545,0.9862
610.53,3.87,2.65,16.23,0.7723,0.9948
4924.96,1.99,0.92,16.07,1.2759,1.0073
4202.55,3.56,2.63,6.92,2.5255,0.9253
667.08,3.67,0.53,5.9,5.314,1.1598
4608.17,1.65,1.78,13.64,2.1757,0.9901
4355.99,3.26,2.42,18.11,4.1131,1.0605
2618.25,4.09,2.84,10.68,4.4568,1.1569
2976.81,3,2.77,10.49,3.6831,0.9837
2025.06,1.05,2.55,9.88,2.2446,1.0055
321.07,1.04,2.72,9.12,3.6257,0.9944
1709.23,2.43,1,18.29,2.1505,0.9935
4024.12,4.7,1.21,26.34,0.527,0.9722
72.93,1.91,1.22,11.34,6.238,0.9718
1700.82,3.54,1.44,34.63,0.7991,1.0051
2020.94,1.89,1.48,18.33,0.4546,1
2710.11,2.29,1.86,7.61,5.52,0.9963
4603.29,4.39,0.9,36.87,1.8965,0.9939
1764.41,3.92,2.23,12.44,4.0859,1.091
1767.42,1.38,0.92,4.58,2.0672,1.0685
3700.63,2.71,1.28,19.67,2.4596,1.0116
2288.48,1.12,1.76,5.52,1.6469,1.0351
1161.79,2.92,2.49,27.53,2.1554,0.9992
2289.58,3.65,2.35,8.24,2.5805,0.9213
747.24,1.47,2.11,8.62,4.5265,1.0295
923.12,2.16,0.89,20.06,3.2141,0.9712
2516.92,2.59,1.87,23.8,5.9286,0.9515
2123.68,4.68,0.72,13.24,0.2631,0.8763
4578.49,4.97,1.44,22.96,3.1609,0.9626
1843.85,1.18,1.53,7.98,3.6708,0.9851
2923.91,4.04,0.6,11.55,5.7818,0.9863
3179.71,2.49,1.18,24.19,0.3089,0.9443
114.82,2.57,2.89,23.84,3.6034,0.9922
3334.51,4.02,2.88,11.73,5.3635,1.0923
931.28,4.67,1.38,11.82,1.5201,1.0884
4807.3,4.8,0.61,10.69,5.5059,1.0496
785.88,3.31,0.95,30.54,0.1197,1.0047
2102.39,2.43,1.48,7.64,4.6021,1.0842
472.48,4.15,2.87,20.91,5.8629,0.9737
4984.53,2,0.85,10.65,4.1293,1.0009
2535.87,3.26,2.41,21.46,2.7585,0.934
2997.16,2.43,0.77,5.14,0.282,0.7879
382.03,3.63,2.95,12.43,5.7812,0.9603
3762.3,1.96,1.45,18.47,2.955,1.0098
1089.03,1.77,2.44,16.29,0.1822,0.9958
4495.37,4.67,1.36,38.04,4.3343,0.9941
1065.44,1.41,2.07,2.34,3.0275,0.6429
993.9,3.02,0.98,12.94,0.7813,1.0137
230.92,1.88,0.87,12.88,1.3463,1.0182
2386.73,1.16,2.85,4.44,0.4052,0.9615
2845.96,1.14,2.79,10.56,3.6084,0.9977
375.26,1.7,2.72,11.72,3.9083,1.0049
3888.86,4.47,2.06,9.43,3.1777,0.8143
2293.78,2.13,2.52,19.65,5.134,0.9781
2645.73,4.8,0.67,46.29,5.4099,0.9705
2231.78,3.33,1.34,7.19,3.8681,1.0214
2033.78,2.75,1.28,16.55,0.0802,0.9715
2820.22,3.32,2.09,13.54,4.3683,1.0343
818.44,3.07,1.39,14.84,2.6264,0.987
950.54,4.04,0.87,12.21,3.5535,0.9311
4315.84,2.13,1.99,13.66,4.0783,1.0098
4733.27,2.41,2.54,23.26,2.2006,1.0403
1897.88,4.58,1.46,26.43,5.7623,0.9781
1390.19,4.79,0.83,10.55,0.8418,1.025
3237.8,4.57,0.99,30.94,4.2192,0.9867
2073.23,2.68,1.09,11.76,0.0274,0.9619
175.66,4.12,1.25,36.17,5.8098,0.995
822.96,2.91,2.11,15.09,0.7069,0.9835
3594.06,2.99,2,9.39,0.5962,0.9547
3311.67,1.82,2.24,5.68,2.0923,1.0931
184.13,3.36,1.41,27.03,2.3472,1.0025
1148.76,1.74,2.56,6.56,1.3465,1.0623
1193.82,2.33,1.01,18.66,3.6764,0.9839
3375.87,4.42,1.67,14.37,2.7829,0.963
147.57,1.83,2.5,7.74,0.2147,0.9513
565.34,1.28,0.95,7.01,2.0084,1.0153
4009.58,1.28,0.77,12.14,5.0921,0.9598
933.8,4.76,2.71,44.87,4.3335,1.0103
3281.09,3.03,1.36,9.87,4.5545,1.1106
1229,2.64,2.21,11.99,4.3864,1.0352
542.23,4.24,0.56,11.75,1.9539,1.0125
1253.7,4.34,2.23,25.34,0.6262,0.9823
3625.22,2.33,1.29,12.61,1.712,0.9561
4285.7,3.77,0.64,34.56,5.2263,0.988
4159.59,4.08,2.02,38.41,6.1605,0.9917
2016.06,3.62,1.1,17.23,3.1029,0.9504
3357.02,1.61,1.47,9.12,0.0609,0.9303
1064.67,4.5,0.7,41.06,0.8799,0.983
1501.08,3.16,0.87,26.38,2.0237,1.0012
4486.86,2.13,1.24,3.26,3.6354,0.8848
114.36,2.7,0.72,11.4,0.4718,0.9696
473.27,1.15,2.78,5.85,5.9273,0.9767
1079.04,1.51,0.52,5.22,2.2939,1.005
181.33,4.06,1.71,12.98,5.7339,0.9573
948.11,1,0.81,1.82,4.9042,1.3424
2936.06,2.67,1.27,18.58,4.7466,1.0392
2136.05,3.09,2.82,11.53,3.8121,0.9947
4468.72,1.22,0.9,2.37,3.9382,0.9513
4096.35,4.89,2.91,16.94,4.0087,0.9814
1742,1.9,1.01,15.84,3.9504,1.0003
1334.15,2.22,2.35,19.37,3.4792,0.9963
1929.48,2.22,1.87,12.42,6.1978,0.9835
2971.96,1.92,2.71,9.68,4.6011,1.0428
1376.92,1.01,1.88,9.87,4.8817,1.0144
3139.54,3.92,1.84,12.55,5.4818,1.0105
2076.59,4.87,0.99,16.21,1.3549,1.0968
2782.63,1.9,0.92,7.55,0.5266,0.979
2208.83,3.65,2.79,10.84,3.0341,0.8893
1507.61,3.97,1.32,18.75,3.2301,0.9519
4744.84,4.39,1.43,40.61,5.2099,1.0103
3829.85,2.69,2.4,18.11,2.7884,1.0019
743.56,2.21,1.35,11.06,3.5868,0.9773
4348.92,2.3,2.88,21.73,3.3117,1.006
2462.78,3.85,2.34,7.36,0.24,0.7563
4478.03,4.27,1.99,14.03,3.8655,1.0048
4009.28,1.73,2.7,10.89,5.2027,0.9882
2154.81,2.48,0.62,16.72,0.9896,1.028
161.22,4.61,1.14,8.46,3.7343,0.9942
1379.95,4.23,1.66,20.82,3.7298,0.97
2731.09,4.94,1.07,34.66,1.0316,1.0189
3185.72,4.02,2.36,29.86,0.7757,1.0163
1326.54,2.57,2.8,17.81,6.1578,0.9633
739.81,3.36,1.56,14.21,2.4738,0.9856
4182.9,3.64,1.36,8.36,1.4289,1.1537
4922.79,1.31,2.9,6.74,1.0765,0.9974
2652.17,3.18,1.61,8.25,4.1947,1.1183
899.81,3.84,1.72,36.66,3.8293,1.0043
1397.92,1.67,1.38,9.25,4.0436,1.0078
141.03,4.12,2.77,17.3,0.553,0.9751
4575.78,3.34,1.92,26.73,5.6142,0.9348
632.87,4.81,2.41,27.57,2.4458,1.004
2903.76,1.17,2.53,4.84,1.969,1.0589
1406.57,2.06,1.35,17.32,2.9051,0.9775
2793.18,3.41,1.58,30.22,2.4509,1.0178
3274.53,2.19,2.62,15.79,5.426,1.0006
4157.22,3.86,1.41,7.33,5.8387,0.7959
1071.79,4.04,2.48,25.48,1.9067,1.0244
104.43,1.41,2.85,11.26,5.4283,1.0015
727.58,3.06,2.06,8.13,4.9105,1.2093
4505.09,3.04,2.35,10.45,5.8484,0.9533
4375.76,2.48,2.51,22.3,1.5441,0.9905
3007.19,4.73,2.61,7.91,3.6251,0.8725
3022.56,4.31,1.49,34.04,1.725,1.0718
3341.93,3.79,0.63,20.94,5.1779,0.9947
918.09,3.86,1.5,20.43,0.0335,0.9492
4576.34,2.85,2.18,4.44,3.5489,0.6867
2122.91,4.68,1.63,39.65,2.1313,1.003
1946.54,3.78,2.37,17.22,2.0275,1.0172
2618.64,3.92,1.39,23.87,4.0521,1.0124
282.48,4.45,2.09,32.27,5.35,1.0061
873.1,2.1,0.97,15.66,3.8277,0.9826
3703.27,4.23,2.37,40.7,5.3606,0.9358
459.85,1.78,1.86,10.71,1.6625,1.0285
3035.6,2.38,1.01,11.66,3.2641,0.9637
1264.48,2.34,1.23,22.5,2.8308,0.9858
1977.01,4.91,2.37,34.19,0.0732,0.9468
1479.03,4.43,1.71,17.86,3.4986,0.9614
1810.58,3.8,1.04,9.8,4.1565,1.1208
3609.28,3.91,2.92,33.85,3.7191,1.0047
1520.75,3.25,2.29,14.87,4.6262,1.0341
2853.7,4.79,2.89,34.06,3.5898,0.9891
2406.45,2.99,1.57,16.42,0.4194,0.9454
3335.17,2.52,1.69,8.05,0.7316,1.0295
4687.31,1.65,2.74,10.93,3.7478,0.996
3676.23,4.14,1.81,8.36,1.7277,1.1668
1113.95,3.94,2.27,19.74,0.5004,0.9758
204.36,2.54,1.13,15.6,2.6993,0.9844
1348.21,1.1,1.62,5.73,3.4829,0.9672
2995.64,4.36,0.81,34.25,2.0656,1.0007
304.56,1.05,1.01,8.93,4.5266,1.0091
2507.01,3.81,0.5,30.73,4.0449,1.0179
3004.37,4.88,0.6,8.93,2.0912,1.1524
1704.51,2.75,2.94,8.66,4.743,1.0638
3866.02,1.94,1.11,11.76,4.0759,0.994
577.66,3.82,2.16,36.08,4.0052,1.0075
421.93,4.27,2.6,36.7,3.4773,0.9878
3654.53,3.19,1.88,27.59,0.0716,1.0503
2502.68,4.87,0.88,19.85,4.3763,1.0585
3457.59,1.21,2.32,6.21,2.3627,1.0119
2202.4,3.02,2,16.61,5.9226,0.9726
1269.69,3.87,2.33,10.99,5.1395,1.1262
4104.56,4.45,2.42,7.85,3.6926,0.892
4007.11,1.72,2.94,16.4,1.5845,0.9989
3488.75,4.2,1.93,14.89,1.28,1.0859
1397.12,3.21,1.35,11.36,2.1387,1.0231
2971.64,2.59,2.12,5.71,2.9944,0.7732
1836.82,1.53,0.67,14.34,1.8602,0.9889
503.33,4.46,2.74,28.68,3.2354,0.9865
4590.7,1.63,0.8,11.68,1.0391,1.0339
727.25,2.24,1.32,20.71,6.1432,0.991
4753.67,2.16,2.54,9.59,0.6781,0.9402
2257.73,4.49,1.99,30.43,5.8556,0.9999
966.41,3.69,1.48,6.75,5.7402,0.8658
2732.41,4.19,1.68,12.93,3.3009,0.9068
4371.08,2,2.64,17.15,4.5547,0.9703
3674.51,3.5,1.35,28.06,2.7398,0.9952
4042.48,3.29,2.67,14.73,3.9586,0.9872
3310.98,4.33,0.72,20.37,2.1399,0.9944
3476.77,4.62,2.44,27.91,1.8922,1.0476
4253.52,1.05,2.62,1.58,3.6331,0.775
1285.86,3.7,0.95,13.12,3.1298,0.928
2472.65,1.21,1.58,3.95,3.6413,0.9696
1144.99,3.2,0.91,11.6,1.8011,1.0585
4938.96,2.15,2.27,17.96,2.3057,0.961
4723.09,2.23,1.84,8.63,0.5271,0.9583
245.16,2.41,2.09,7.54,0.3285,0.9218
3542.6,3.49,0.99,20.17,1.5925,1.0244
4629.98,2.34,1.03,20.69,0.4665,1.0125
943.85,3.93,0.6,13.96,0.652,0.9987
2861.33,2.62,1.31,5.67,5.1078,1.1454
4581.67,1.27,1.9,5.77,0.2443,0.8786
218.03,4.14,2.64,32.48,4.1403,1.0086
3502.23,2.14,2.17,13.25,1.7125,1.0841
1521.88,2.73,1.59,23.06,5.4761,1.0067
4625.76,3.74,2.88,36.13,3.0473,0.9392
4856.74,2.33,2.3,19.19,1.92,1.0053
4724.12,1.23,2.83,8.13,3.2524,0.925
2397.36,2.5,1.82,14.21,2.3999,1.0132
4317.11,4.78,1.15,8.79,3.5456,0.7665
4230.52,3.57,0.63,35.19,0.7196,0.986
1629.55,3.69,2.32,17.54,6.2643,0.9395
4153.13,3.53,0.8,9.86,2.6738,0.934
233.19,1.8,1.26,12.87,2.188,1.0057
3001.54,2.67,1.83,10.47,4.4624,1.063
1188.54,4,1.91,25.94,2.2864,1.0039
646.81,1.41,2,9.12,5.2356,1.0057
430.92,2.11,0.92,11.17,2.8543,0.9729
3496.63,2.11,1.45,18.12,4.5211,1.0108
1732.38,2.73,2.04,10.24,0.6751,0.9698
3637.6,4.92,2.92,26.15,5.3163,1.0946
373.51,1.27,2.32,7.71,4.6227,1.0285
1610.69,3.07,2.81,21.96,1.3303,1.015
2720.48,1.72,2.41,14.02,0.9129,1.0424
3964.08,4.88,1.98,23.71,1.9873,1.102
1627.82,1.45,0.98,10.16,6.1328,0.9781
3148.16,2.61,2.17,7.27,1.6137,1.1326
4435.59,3.95,2.06,37.25,2.8659,0.9466
3098.52,3.82,2.01,18.16,0.1886,0.9545
1203.15,2.69,1.72,20.72,2.4959,0.9931
170.78,2.39,1.82,3.99,3.5897,0.871
4356.99,2.59,1.34,8.4,5.9887,0.937
155.28,2.06,1.8,11.6,3.2467,0.9701
4379.77,1.82,0.99,16.33,5.1466,1.0185
2668.24,2.93,2.51,17.54,3.4377,0.9446
4698.39,2.07,0.96,19.5,0.2563,0.9461
4003.98,2.15,0.71,12.07,1.9793,1.0001
