wind_speed,wind_dir,air_pressure,tide_level,surface_current,current_dir,depth,Hs
14.517,194.988,1009.215,0.323,0.802,198.695,19.857,1.816
7.2,228.052,1024.043,0.638,0.349,265.665,15.098,0.889
1,92.84,1005.337,0.695,0.15,61.132,9.04,0.537
4.089,50.168,1014.603,-0.198,0.133,50.459,8.635,0.364
14.253,300.575,1023.837,0.17,0.754,317.05,16.467,1.566
11.738,354.385,1017.633,1.07,0.666,9.15,9.691,1.56
2.25,189.248,1010.973,0.24,0.184,142.189,20.137,0.504
4.794,61.805,1009.96,0.633,0.462,90.982,25.619,0.882
11.177,98.031,1013.443,0.529,0.735,105.47,25.658,1.568
4.848,6.621,1021.348,-0.019,0.384,1.147,21.181,0.619
15.876,329.148,1011.903,0.06,0.842,284.462,12.225,1.829
10.956,42.39,1005.157,0.312,0.644,82.37,25.26,1.399
4.267,207.546,1022.017,-0.369,0.193,175.5,25.722,0.403
5.96,98.66,1016.433,-0.273,0.464,81.836,11.933,0.647
16.045,199.504,1013.94,0.956,0.805,186.644,22.749,2.196
7.134,234.511,999.899,0.06,0.529,275.585,13.73,1.27
6.989,298.707,1014.617,0.493,0.381,312.024,24.053,0.845
12.186,74.312,1007.453,0.067,0.699,84.317,27.945,1.466
18.621,3.958,1013.291,0.695,1.173,348.761,8.601,2.418
16.12,49.279,1003.454,-0.054,0.689,66.174,25.947,2.1
12.095,324.007,1011.867,0.383,0.655,332.297,20.453,1.535
7.583,314.6,1021.196,0.895,0.518,8.262,27.468,1.103
4.474,215.069,1024.678,0.904,0.316,250.986,17.3,0.641
12.443,216.186,1005.578,0.024,0.768,189.45,24.948,1.84
10.401,239.413,1019.809,0.839,0.605,247.409,9.248,1.481
8.836,63.134,1012.707,0.348,0.487,41.388,14.706,1.096
13.55,329.188,1011.018,0.42,0.676,330.257,9.34,1.709
5.059,150.757,1012.426,-0.136,0.269,136.378,27.507,0.671
9.435,137.93,1018.93,0.229,0.605,128.394,24.339,1.064
4.127,186.81,1007.428,0.969,0.274,176.608,25.051,1.039
9.082,16.908,1004.079,0.442,0.533,33.318,26.759,1.41
2.375,59.862,1013.125,0.33,0.225,48.07,9.702,0.491
3.177,265.692,1020.051,0.509,0.287,293.744,15.712,0.597
2.697,29.808,1018.221,0.597,0.386,21.541,9.421,0.484
11.907,217.135,1014.743,0.127,0.768,193.478,12.216,1.445
13.197,88.326,1008.006,0.534,0.693,106.679,12.587,1.825
10.216,140.146,1015.484,0.001,0.67,132.506,17.382,1.251
14.557,103.93,1004.159,1.046,0.847,99.719,13.371,2.176
7.997,128.042,1011.05,0.66,0.505,145.382,10.02,1.063
8.277,258.857,1001.996,0.604,0.602,253.206,11.35,1.431
14.189,106.964,1005.949,0.224,0.571,84.543,10.946,1.918
6.343,203.906,1006.981,0.346,0.366,195.496,27.462,1.004
17.529,171.378,1007.769,0.204,0.921,243.036,23.186,2.304
1,238.922,1013.39,0.189,0.231,253.901,27.355,0.533
15.66,337.259,1007.646,1.227,0.893,354.313,16.795,2.341
4.997,263.726,1008.86,-0.245,0.26,269.043,13.567,0.799
11.275,77.379,1004.481,0.179,0.696,45.72,23.966,1.577
10.084,11.226,1007.625,0.78,0.57,2.553,14.525,1.576
19.797,94.415,1008.67,0.346,1.016,115.96,13.988,2.423
5.737,214.228,1000.593,0.732,0.399,145.479,12.65,1.174
10.323,18.513,1011.259,0.094,0.72,4.752,10.594,1.344
12.082,178.692,1013.935,0.424,0.505,148.129,13.129,1.514
9.671,214.863,1013.191,0.212,0.545,206.061,15.106,1.286
10.571,120.328,1009.268,-0.24,0.61,128.392,21.48,1.285
11.353,277.528,1007.483,1.052,0.716,280.472,9.251,1.802
8.171,38.375,1023.333,0.037,0.536,26.004,12.21,0.914
11.45,27.05,1010.57,0.486,0.531,65.283,24.18,1.446
10.404,262.148,1009.299,0.283,0.53,201.284,10.938,1.496
15.913,178.377,996.432,0.35,0.786,170.479,14.853,2.379
1,247.825,1008.385,0.836,0.226,259.466,25.293,0.731
4.429,156.538,1008.611,-0.406,0.249,173.805,11.099,0.674
11.723,88.705,1007.918,0.689,0.574,84.798,9.655,1.684
13.728,294.877,1011.135,0.798,0.895,282.781,17.691,1.846
9.222,287.79,1010.656,0.581,0.638,284.337,14.048,1.446
10.704,250.091,1011.9,0.982,0.64,229.68,19.268,1.522
7.832,97.972,1015.594,-0.451,0.465,74.85,24.076,0.979
4.992,212.483,1018.242,0.295,0.393,210.781,10.743,0.816
9.109,129.951,1015.54,0.07,0.625,109.391,19.614,1.085
8.258,32.97,1019.334,0.768,0.517,15.705,18.11,0.96
10.258,330.233,996.075,1.6,0.565,345.082,10.882,1.99
5.107,49.255,1004.38,0.257,0.46,69.713,20.48,0.841
13.744,342.085,995,0.724,0.834,350.946,13.473,2.26
15.184,160.562,1011.293,0.184,0.859,140.573,17.757,1.931
10.308,66.648,1024.784,0.524,0.688,10.771,9.645,1.036
9.833,195.084,1003.923,0.411,0.669,210,17.192,1.627
7.385,314.261,1017.406,1.6,0.466,299.857,14.129,1.311
13.829,263.601,1004.311,0.741,0.652,224.62,24.448,2.07
11.185,290.362,1018.48,0.32,0.619,297.632,9.14,1.339
